"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"161","ATL",7,2024,25986,54.8,"SEA","ATLCousins-2024",12,14,7,"Bad"
"162","ATL",1,2024,25894,42,"PIT","ATLCousins-2024",13,14,7,"Bad"
"163","ATL",13,2024,26075,40,"LAC","ATLCousins-2024",14,14,7,"Bad"
"164","ATL",16,2023,24027,63.1,"IND","ATLHeinicke-2023",1,5,3,"Good"
"165","ATL",8,2023,23911,61.775,"TEN","ATLHeinicke-2023",2,5,3,"Good"
"166","ATL",10,2023,23940,55.3375,"ARZ","ATLHeinicke-2023",3,5,3,"Bad"
"167","ATL",9,2023,23920,52.7,"MIN","ATLHeinicke-2023",4,5,3,"Bad"
"168","ATL",17,2023,24043,29.125641025641,"CHI","ATLHeinicke-2023",5,5,3,"Bad"
"169","ATL",18,2024,26149,94.5,"CAR","ATLJr.-2024",1,3,2,"Good"
"170","ATL",16,2024,26118,77.7,"NYG","ATLJr.-2024",2,3,2,"Good"
"171","ATL",17,2024,26145,54.3,"WAS","ATLJr.-2024",3,3,2,"Bad"
"172","ATL",6,2022,23177,74.6,"SF","ATLMariota-2022",1,13,7,"Good"
"173","ATL",11,2022,23245,69.1,"CHI","ATLMariota-2022",2,13,7,"Good"
"174","ATL",7,2022,23193,68.6,"CIN","ATLMariota-2022",3,13,7,"Good"
"175","ATL",8,2022,23209,67.9,"CAR","ATLMariota-2022",4,13,7,"Good"
"176","ATL",3,2022,23142,66.7,"SEA","ATLMariota-2022",5,13,7,"Good"
"177","ATL",12,2022,23265,66.5,"WAS","ATLMariota-2022",6,13,7,"Good"
"178","ATL",5,2022,23166,65.9,"TB","ATLMariota-2022",7,13,7,"Bad"
"179","ATL",2,2022,23122,61.3,"LA","ATLMariota-2022",8,13,7,"Bad"
"180","ATL",1,2022,23107,59.8,"NO","ATLMariota-2022",9,13,7,"Bad"
"181","ATL",9,2022,23220,59.6,"LAC","ATLMariota-2022",10,13,7,"Bad"
"182","ATL",10,2022,23232,51.5,"CAR","ATLMariota-2022",11,13,7,"Bad"
"183","ATL",4,2022,23150,49.1,"CLV","ATLMariota-2022",12,13,7,"Bad"
"184","ATL",13,2022,23281,46.3,"PIT","ATLMariota-2022",13,13,7,"Bad"
"185","ATL",18,2022,23350,74.6,"TB","ATLRidder-2022",1,4,2,"Good"
"186","ATL",17,2022,23337,72.7,"ARZ","ATLRidder-2022",2,4,2,"Good"
"187","ATL",16,2022,23322,52.5,"BLT","ATLRidder-2022",3,4,2,"Bad"
"188","ATL",15,2022,23309,43.1,"NO","ATLRidder-2022",4,4,2,"Bad"
"189","ATL",5,2023,23865,78.2088607594937,"HST","ATLRidder-2023",1,12,6,"Good"
"190","ATL",7,2023,23895,77.7,"TB","ATLRidder-2023",2,12,6,"Good"
"191","ATL",12,2023,23964,73.4,"NO","ATLRidder-2023",3,12,6,"Good"
"192","ATL",14,2023,23994,60.9,"TB","ATLRidder-2023",4,12,6,"Good"
"193","ATL",18,2023,24061,59.4,"NO","ATLRidder-2023",5,12,6,"Good"
