"","posteam","defteam","week","season","before_old_xtd","before_new_xtd","after_old_xtd","after_new_xtd","actual_td","actual_fg"
"28","ARZ","DET",1,2017,3.79487260035239,3.24529344427134,3.48445780109614,3.05347246404779,3,0
"29","ARZ","DET",1,2019,2.91620684065856,2.49473868406547,3.38593646732625,3.17569583569017,2,0
"30","ARZ","DET",3,2020,2.05635854532011,1.88851412885395,2.58465768466704,2.37509220959265,3,0
"31","ARZ","DET",14,2018,1.10453804739518,1.01902692505484,1.30415509804152,1.225727587696,1,0
"32","ARZ","DET",15,2021,3.27253765636124,2.73038773639134,4.21511084685335,3.53785564689888,1,0
"33","ARZ","GB",8,2021,1.98725381132681,1.85633629884178,2.32990328420419,2.16969908423741,3,0
"34","ARZ","GB",13,2018,1.14813348691678,1.08899702130224,2.14983647107147,1.9061443943729,2,0
"35","ARZ","HST",7,2021,2.53106788324658,2.24444396285516,2.94993248896208,2.52526747422996,4,0
"36","ARZ","HST",11,2017,0.779641795903444,0.763843540132683,1.1173112738179,1.0712139517245,3,0
"37","ARZ","HST",11,2023,1.62774796842132,1.48662241062464,1.85293545061722,1.68835095786328,2,0
"38","ARZ","IND",2,2017,2.34854758891743,2.16095223890132,3.19216600293294,2.8864695586753,1,0
"39","ARZ","IND",16,2021,1.84083506278694,1.66097372909343,2.75092016806593,2.38614902246812,2,0
"40","ARZ","JAX",3,2021,3.54073227220215,2.88076316398033,4.29649746173527,3.49233312936533,3,0
"41","ARZ","JAX",12,2017,0.943924263352528,0.922734257204682,1.2127503749216,1.19547387437928,3,0
"42","ARZ","KC",1,2022,2.54657301603584,2.23283417662319,2.5841694472474,2.32694201656516,3,0
"43","ARZ","KC",10,2018,1.66787347773788,1.56553501734931,2.19566718256101,1.96635222639211,2,0
"44","ARZ","LA",2,2018,0.129293517093174,0.128985719529157,0.197015384910628,0.196323330556999,0,0
"45","ARZ","LA",3,2022,2.30142265721224,1.93774361181954,2.31499888852704,1.85820772257829,0,0
"46","ARZ","LA",4,2016,2.69264271960128,2.33653193814672,2.99817978241481,2.84982136379304,1,0
"47","ARZ","LA",4,2021,5.08795881946571,4.20068126058786,4.8807801817311,4.12855180711197,4,0
"48","ARZ","LA",6,2023,1.13365850079572,1.09731893463976,1.76310408778954,1.68274988540583,0,0
"49","ARZ","LA",7,2017,0.490422735456377,0.479137961603526,0.598787290975451,0.590341790096364,0,0
"50","ARZ","LA",10,2022,2.51631280721631,2.19492597025608,3.01900406449568,2.57071497401005,3,0
"51","ARZ","LA",12,2023,2.74303958250675,2.17175319729365,2.95376558892895,2.3898361655275,2,0
"52","ARZ","LA",13,2017,1.82965851231711,1.58209187303142,2.75665074191056,2.36069847808207,3,0
"53","ARZ","LA",13,2019,0.52104567020433,0.514830505253052,0.765707622864284,0.749236207480005,2,0
"54","ARZ","LA",13,2020,3.58385978033766,2.62830062700157,3.61769666330656,2.59434424744651,5,0
"55","ARZ","LA",14,2021,3.36375421728007,2.75626306012329,4.33612889389042,3.58175317734236,2,0
"56","ARZ","LA",16,2018,0.85171370068565,0.822278200037297,1.10824954323471,1.06905318137605,1,0
"57","ARZ","LA",17,2016,4.8009321638383,3.83343989000025,5.3540789980907,4.2935845849293,4,0
"58","ARZ","LA",17,2019,3.2571902666532,2.70994882264255,3.66457994206576,3.08770364357655,3,0
"59","ARZ","LA",17,2020,0.964242499205284,0.90024727154494,1.23452603933401,1.20526518616008,2,0
"60","ARZ","LA",28,2021,1.06805688788882,0.902536016660608,1.13620098726824,1.06360896853831,2,0
"61","ARZ","LAC",12,2018,0.865356449736282,0.83218598569667,1.00783182645682,0.976970097314767,1,0
"62","ARZ","LAC",12,2022,1.71211010968545,1.59044655255482,2.0669016916072,1.91940290312647,3,0
"63","ARZ","LV",2,2022,5.15377748350147,4.04980067369829,5.46181229210924,4.31078120665472,3,0
"64","ARZ","LV",11,2018,0.897203104745131,0.837289937918011,1.40671927400399,1.34430033628292,3,0
"65","ARZ","MIA",9,2020,1.59365794551559,1.48215472749203,2.64107213797979,2.43447615986113,5,0
"66","ARZ","MIA",14,2016,1.95534186955774,1.72998066097418,2.44015304045752,2.09422701897927,3,0
"67","ARZ","MIN",2,2021,2.25612265930977,2.05652391561171,2.80690218077507,2.5375079365795,5,0
"68","ARZ","MIN",6,2018,3.78983982029604,2.8117398035214,4.01411358173937,2.98880411223605,1,0
"69","ARZ","MIN",8,2022,1.76983393525006,1.66567938339266,2.02179641788825,1.89675367573466,3,0
"70","ARZ","MIN",11,2016,3.39355160249397,2.85013618593875,3.62149191973731,3.05596516554501,4,0
"71","ARZ","NE",1,2016,3.3856271248078,2.92559795202484,4.13630242855288,3.36764055767247,3,0
"72","ARZ","NE",12,2020,4.24229345854837,3.48081153420422,4.82132808468305,3.90081963934101,2,0
"73","ARZ","NE",14,2022,1.50300210446585,1.42349495713205,2.08471853099763,1.9541922307938,2,0
"74","ARZ","NO",7,2022,3.77151516638696,3.18579984455566,4.1081340800738,3.41498614367064,3,0
"75","ARZ","NO",8,2019,0.97008439945057,0.926296325897471,1.2919041661662,1.2237220021221,0,0
"76","ARZ","NO",15,2016,1.7152265177574,1.63833770792567,2.03738029592205,1.96031592819404,5,0
"77","ARZ","NYG",2,2023,1.94784675957635,1.75771443328781,2.19183240644634,1.98109227011519,3,0
"78","ARZ","NYG",7,2019,0.698630502796732,0.686556287869686,0.727215211256407,0.717692340973159,3,0
